"","solID","mape","decomp.rssd","nrmse","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"35","4_249_4",0,0.139243675629583,0.0501421515214679,0.408834689895218,0.40686198111533,0.558448238455138,0.215784747346905,0.585032262860607,2,FALSE
"36","4_250_3",0,0.111340627535716,0.05107125812509,0.462835117119635,0.245359143890047,0.138684215942743,0.353625041618462,0.752628021616922,3,FALSE
"37","4_257_4",0,0.11286054198399,0.0509006284906195,0.402015073747989,0.543598044845558,0.253530459314715,0.292308630687925,0.732592661534754,3,FALSE
"38","4_258_7",0,0.121258432877343,0.0509483860160317,0.552421509736669,0.243988141373852,0.140813012090199,0.363019817373648,0.757418959105317,3,FALSE
"39","4_261_5",0,0.204292727476777,0.0490673235281582,0.618825812795391,0.110561504268759,0.324681962894057,0.188173614344587,0.454122925113408,2,FALSE
"40","4_263_3",0,0.139085691257779,0.0503531868913812,0.395164831881779,0.18809858827434,0.050769994850377,0.244135445747805,0.414979824979158,1,FALSE
"41","4_264_3",0,0.0550884139586393,0.0533190531879374,0.823835193594979,0.758323565975958,0.370661600727035,0.636295493552299,0.826006615085445,4,FALSE
"42","4_266_1",0,0.121819004643488,0.0509015910664229,0.402862979562107,0.54622991024846,0.257798246941332,0.260372806467898,0.727248062978298,3,FALSE
"43","4_266_6",0,0.150801555961809,0.0495818953848468,0.265846020907938,0.0891675775172236,0.0553068812309843,0.186073500892138,0.420939549736524,1,FALSE
"44","4_267_5",0,0.143206434056901,0.0502492461002817,0.408895951309742,0.157541452371031,0.0496783471599731,0.25242786741117,0.41720140455841,1,FALSE
"45","4_271_1",0,0.146240711493019,0.0495192119844215,0.269800034392718,0.226751417809931,0.12686115627011,0.163512646888951,0.439287705987455,1,FALSE
"46","4_271_7",0,0.147087660900697,0.0502100049029773,0.409861342834158,0.164746641557085,0.185085263517093,0.243980808277701,0.406215400040245,1,FALSE
"47","4_273_2",0,0.0757329492117774,0.0517134580774234,0.217192030836783,0.161818509783049,0.00812831468113893,0.369802847980052,0.463070887511751,1,FALSE
"48","4_274_4",0,0.0291186550203756,0.054998475191621,0.89447977961979,0.829226032519451,0.356073739552612,0.81590853010796,0.978890272936265,4,FALSE
"49","4_275_3",0,0.159623702286824,0.0495407281256492,0.268806717070065,0.229958638097365,0.135351200695962,0.129853111727625,0.41314101261297,1,FALSE
"50","4_278_2",0,0.173886678600841,0.0493894203231989,0.441543155924924,0.359591876491778,0.597693724722268,0.138457907277131,0.394073017357425,2,FALSE
"51","4_278_4",0,0.0648887041998728,0.0524846589296947,0.104528340409936,0.19621920161523,0.0179626196594447,0.379230875855714,0.410091366482768,1,FALSE
"52","4_280_7",0,0.196162475980753,0.0490377797642601,0.494825984088738,0.165478894255638,0.382781436755272,0.174503254278316,0.239691699509555,2,FALSE
"53","4_283_7",0,0.106825495940356,0.0512549048735257,0.110311765036922,0.102030007154923,0.0540558981434927,0.254822970442937,0.373243228488026,1,FALSE
"54","5_136_5",0,0.132898938308468,0.0505268089368224,0.695306297976585,0.583471318922873,0.541123411102827,0.298315459622897,0.521445308853239,2,FALSE
"55","5_141_6",0,0.017049390663039,0.060247313898279,1,0.975198162284414,0.660143292944585,0.98701771114955,0.876397882357404,4,FALSE
"56","5_167_3",0,0.073371180588058,0.0522531358182638,0.688218913513938,0.636854499849687,0.343656229450937,0.505309976971576,0.709471450649248,3,FALSE
"57","5_176_3",0,0.212383200269882,0.0490176128384361,0.647737972558131,0.558276973527129,0.727846359798218,0.0964985834301764,0.174840171164807,2,FALSE
"58","5_179_7",0,0.127104879793437,0.0506400569208953,0.628778051990852,0.585926467921414,0.644374442689162,0.304942708794929,0.534280755267708,2,FALSE
"59","5_180_6",0,0.0250203057225104,0.0558535833355621,0.916911464234776,0.811065272514756,0.217242888303558,0.856731655365296,0.881066542658294,4,FALSE
"60","5_181_2",0,0.193001726800337,0.0492110231823511,0.688679814175913,0.67023115426311,0.837868537538379,0.12789031050801,0.301607401463386,2,FALSE
"61","5_184_7",0,0.189968057479228,0.0492137408696498,0.70211336023045,0.625576033446147,0.700936959252632,0.137025256836321,0.312598037065661,2,FALSE
"62","5_185_1",0,0.0776738215088192,0.0520543087748988,0.540582821300367,0.461021862940161,0.33221446075727,0.454040772971421,0.706519100691947,3,FALSE
"63","5_187_4",0,0.0363244893704164,0.054732020364943,0.80137936886714,0.877722230659138,0.412124820966251,0.746335880417051,0.912503715104757,4,FALSE
"64","5_188_4",0,0.130572821849448,0.0504350716153737,0.705942428368566,0.583200900268667,0.651893481786404,0.312864633560772,0.540210824065413,2,FALSE
"65","5_189_4",0,0.0495586657812913,0.0537872101842129,0.588279493077877,0.645066056115471,0.430844025666827,0.611014696735331,0.607986747208712,3,FALSE
"66","5_190_6",0,0.0437845427887168,0.0540968072581418,0.527893823778428,0.587146249905035,0.351941518206487,0.610340826387212,0.751355808209212,3,FALSE
"67","5_191_3",0,0.0529045713181836,0.0531424704926437,0.62538640561571,0.670786870182858,0.323324204697407,0.606553636360009,0.918494735019522,3,FALSE
"68","5_192_1",0,0.0305714165094154,0.0558066699029072,0.605699148683913,0.610494995354562,0.372150774730815,0.728577798695307,0.808667319142056,3,FALSE
"69","5_193_5",0,0.0306915298093065,0.0549120794332326,0.567940129350915,0.677141177634327,0.357639655031957,0.71753489038559,0.757055601068046,3,FALSE
"70","5_197_7",0,0.0369942653782019,0.0549393706763499,0.570408727426766,0.659759470020764,0.33537530026078,0.674586059452673,0.822734485181614,3,FALSE
"71","5_200_1",0,0.179408083983958,0.0493279461768769,0.64751489415697,0.537584831249112,0.716946143858442,0.156950924008148,0.362165955645572,2,FALSE
